Trdmnt,model,coefficient,lambda,n_stocks
1992-07,M2_ln_size,intercept,0.5578103505,31
1992-07,M2_ln_size,ln_size,-0.0376724516,31
1992-07,M3_ln_be_me,intercept,-0.1106460196,12
1992-07,M3_ln_be_me,ln_be_me,0.0426538606,12
1992-07,M6_ln_size_ln_be_me,intercept,0.3676202174,12
1992-07,M6_ln_size_ln_be_me,ln_size,-0.0357608614,12
1992-07,M6_ln_size_ln_be_me,ln_be_me,0.0464751507,12
1992-08,M2_ln_size,intercept,-0.4844058122,30
1992-08,M2_ln_size,ln_size,0.0220199446,30
1992-08,M3_ln_be_me,intercept,-0.3405168176,12
1992-08,M3_ln_be_me,ln_be_me,0.0365043839,12
1992-08,M6_ln_size_ln_be_me,intercept,-0.9756456417,12
1992-08,M6_ln_size_ln_be_me,ln_size,0.0474897706,12
1992-08,M6_ln_size_ln_be_me,ln_be_me,0.0314297806,12
1992-09,M2_ln_size,intercept,-0.1847090795,30
1992-09,M2_ln_size,ln_size,0.0068329612,30
1992-09,M3_ln_be_me,intercept,-0.2932394578,12
1992-09,M3_ln_be_me,ln_be_me,0.0472484604,12
1992-09,M6_ln_size_ln_be_me,intercept,-0.6594274087,12
1992-09,M6_ln_size_ln_be_me,ln_size,0.0273805583,12
1992-09,M6_ln_size_ln_be_me,ln_be_me,0.0443226625,12
1992-10,M2_ln_size,intercept,-0.3740541814,30
1992-10,M2_ln_size,ln_size,0.0106167932,30
1992-10,M3_ln_be_me,intercept,-0.5070378922,12
1992-10,M3_ln_be_me,ln_be_me,0.0642727898,12
1992-10,M6_ln_size_ln_be_me,intercept,-0.6320846975,12
1992-10,M6_ln_size_ln_be_me,ln_size,0.0093499836,12
1992-10,M6_ln_size_ln_be_me,ln_be_me,0.0632736807,12
1992-11,M2_ln_size,intercept,0.2157208230,30
1992-11,M2_ln_size,ln_size,-0.0034233062,30
1992-11,M3_ln_be_me,intercept,0.5538424480,12
1992-11,M3_ln_be_me,ln_be_me,-0.0661881019,12
1992-11,M6_ln_size_ln_be_me,intercept,1.0214365872,12
1992-11,M6_ln_size_ln_be_me,ln_size,-0.0349628887,12
1992-11,M6_ln_size_ln_be_me,ln_be_me,-0.0624520806,12
1992-12,M2_ln_size,intercept,0.3032443568,30
1992-12,M2_ln_size,ln_size,-0.0136857586,30
1992-12,M3_ln_be_me,intercept,0.0252647915,12
1992-12,M3_ln_be_me,ln_be_me,0.0187631646,12
1992-12,M6_ln_size_ln_be_me,intercept,0.0875630452,12
1992-12,M6_ln_size_ln_be_me,ln_size,-0.0046581570,12
1992-12,M6_ln_size_ln_be_me,ln_be_me,0.0192609202,12
1993-01,M2_ln_size,intercept,0.6082032600,30
1993-01,M2_ln_size,ln_size,-0.0247812622,30
1993-01,M3_ln_be_me,intercept,0.5578076217,12
1993-01,M3_ln_be_me,ln_be_me,-0.0666813138,12
1993-01,M6_ln_size_ln_be_me,intercept,1.4112582871,12
1993-01,M6_ln_size_ln_be_me,ln_size,-0.0638141032,12
1993-01,M6_ln_size_ln_be_me,ln_be_me,-0.0598623451,12
1993-02,M2_ln_size,intercept,0.9593225164,30
1993-02,M2_ln_size,ln_size,-0.0559868305,30
1993-02,M3_ln_be_me,intercept,0.0607622833,12
1993-02,M3_ln_be_me,ln_be_me,0.0270146371,12
1993-02,M6_ln_size_ln_be_me,intercept,0.5621018439,12
1993-02,M6_ln_size_ln_be_me,ln_size,-0.0374860970,12
1993-02,M6_ln_size_ln_be_me,ln_be_me,0.0310202802,12
1993-03,M2_ln_size,intercept,-0.2475141485,30
1993-03,M2_ln_size,ln_size,0.0034475566,30
