Trdmnt,size_quintile,bm_quintile,portfolio,vw_return,excess_return,n_stocks
1992-07,1,1,S1B1,,,0
1992-07,1,2,S1B2,,,0
1992-07,1,3,S1B3,,,0
1992-07,1,4,S1B4,0.10277799999999998,0.09668599999999998,1
1992-07,1,5,S1B5,0.246973,0.240881,1
1992-07,2,1,S2B1,,,0
1992-07,2,2,S2B2,,,0
1992-07,2,3,S2B3,-0.085539,-0.091631,1
1992-07,2,4,S2B4,,,0
1992-07,2,5,S2B5,,,0
1992-07,3,1,S3B1,-0.075843,-0.081935,1
1992-07,3,2,S3B2,0.354497,0.348405,1
1992-07,3,3,S3B3,,,0
1992-07,3,4,S3B4,,,0
1992-07,3,5,S3B5,0.182979,0.17688700000000002,1
1992-07,4,1,S4B1,-0.131868,-0.13796,1
1992-07,4,2,S4B2,,,0
1992-07,4,3,S4B3,,,0
1992-07,4,4,S4B4,,,0
1992-07,4,5,S4B5,,,0
1992-07,5,1,S5B1,0.174737,0.16864500000000002,1
1992-07,5,2,S5B2,0.092943,0.086851,1
1992-07,5,3,S5B3,-0.013014881656808787,-0.019106881656808787,2
1992-07,5,4,S5B4,0.086705,0.080613,1
1992-07,5,5,S5B5,,,0
1992-08,1,1,S1B1,,,0
1992-08,1,2,S1B2,,,0
1992-08,1,3,S1B3,,,0
1992-08,1,4,S1B4,-0.282368,-0.28846,1
1992-08,1,5,S1B5,-0.267961,-0.274053,1
1992-08,2,1,S2B1,,,0
1992-08,2,2,S2B2,,,0
1992-08,2,3,S2B3,-0.256551,-0.26264299999999996,1
1992-08,2,4,S2B4,,,0
1992-08,2,5,S2B5,,,0
1992-08,3,1,S3B1,-0.224924,-0.231016,1
1992-08,3,2,S3B2,-0.279297,-0.285389,1
1992-08,3,3,S3B3,,,0
1992-08,3,4,S3B4,,,0
1992-08,3,5,S3B5,-0.080935,-0.08702700000000001,1
1992-08,4,1,S4B1,-0.231646,-0.23773799999999998,1
1992-08,4,2,S4B2,,,0
1992-08,4,3,S4B3,,,0
1992-08,4,4,S4B4,,,0
1992-08,4,5,S4B5,,,0
1992-08,5,1,S5B1,-0.082437,-0.088529,1
1992-08,5,2,S5B2,-0.061417,-0.067509,1
1992-08,5,3,S5B3,-0.14648027184850174,-0.15257227184850172,2
1992-08,5,4,S5B4,-0.082447,-0.088539,1
1992-08,5,5,S5B5,,,0
1992-09,1,1,S1B1,,,0
1992-09,1,2,S1B2,,,0
1992-09,1,3,S1B3,,,0
1992-09,1,4,S1B4,-0.149702,-0.155794,1
1992-09,1,5,S1B5,-0.14191,-0.148002,1
1992-09,2,1,S2B1,,,0
1992-09,2,2,S2B2,,,0
1992-09,2,3,S2B3,-0.139508,-0.14559999999999998,1
1992-09,2,4,S2B4,,,0
1992-09,2,5,S2B5,,,0
1992-09,3,1,S3B1,-0.213725,-0.21981699999999998,1
1992-09,3,2,S3B2,-0.098916,-0.105008,1
1992-09,3,3,S3B3,,,0
1992-09,3,4,S3B4,,,0
1992-09,3,5,S3B5,0.007828,0.0017360000000000006,1
1992-09,4,1,S4B1,-0.16804,-0.17413199999999998,1
1992-09,4,2,S4B2,,,0
1992-09,4,3,S4B3,,,0
1992-09,4,4,S4B4,,,0
1992-09,4,5,S4B5,,,0
1992-09,5,1,S5B1,0.013672,0.007580000000000001,1
1992-09,5,2,S5B2,-0.060403,-0.066495,1
1992-09,5,3,S5B3,-0.02505874520367818,-0.03115074520367818,2
1992-09,5,4,S5B4,0.037681,0.031589,1
1992-09,5,5,S5B5,,,0
1992-10,1,1,S1B1,,,0
1992-10,1,2,S1B2,,,0
1992-10,1,3,S1B3,,,0
