Trdmnt,n_stocks_with_size
2000-01,930
2000-02,932
2000-03,939
2000-04,945
2000-05,952
2000-06,974
2000-07,997
2000-08,1003
2000-09,1015
2000-10,1021
2000-11,1033
2000-12,1060
2001-01,1074
2001-02,1085
2001-03,1098
2001-04,1100
2001-05,1099
2001-06,1110
2001-07,1106
2001-08,1119
2001-09,1125
2001-10,1126
2001-11,1127
2001-12,1136
2002-01,1139
2002-02,1142
2002-03,1142
2002-04,1148
2002-05,1134
2002-06,1144
2002-07,1156
2002-08,1167
2002-09,1177
2002-10,1182
2002-11,1187
2002-12,1193
2003-01,1201
2003-02,1203
2003-03,1208
2003-04,1211
2003-05,1199
2003-06,1208
2003-07,1222
2003-08,1230
2003-09,1237
2003-10,1243
2003-11,1250
2003-12,1259
2004-01,1265
2004-02,1266
2004-03,1275
2004-04,1283
2004-05,1274
2004-06,1297
2004-07,1319
2004-08,1332
2004-09,1335
2004-10,1339
2004-11,1344
2004-12,1350
2005-01,1349
2005-02,1349
2005-03,1351
2005-04,1354
2005-05,1341
2005-06,1346
2005-07,1348
2005-08,1345
2005-09,1347
2005-10,1339
2005-11,1348
2005-12,1340
2006-01,1323
2006-02,1328
2006-03,1320
2006-04,1303
2006-05,1277
2006-06,1302
2006-07,1307
2006-08,1307
2006-09,1321
2006-10,1333
2006-11,1349
2006-12,1363
2007-01,1356
2007-02,1360
2007-03,1382
2007-04,1402
2007-05,1370
2007-06,1383
2007-07,1389
2007-08,1407
2007-09,1407
2007-10,1406
2007-11,1423
2007-12,1440
2008-01,1458
2008-02,1459
2008-03,1462
2008-04,1469
2008-05,1490
2008-06,1517
2008-07,1536
2008-08,1539
2008-09,1547
2008-10,1546
2008-11,1546
2008-12,1559
2009-01,1556
2009-02,1564
2009-03,1562
2009-04,1566
2009-05,1555
2009-06,1562
2009-07,1563
2009-08,1572
2009-09,1587
2009-10,1593
2009-11,1606
2009-12,1626
2010-01,1642
2010-02,1664
2010-03,1684
2010-04,1698
2010-05,1708
2010-06,1731
2010-07,1746
2010-08,1755
2010-09,1781
2010-10,1785
2010-11,1809
2010-12,1837
2011-01,1848
2011-02,1862
2011-03,1875
2011-04,1886
2011-05,1891
2011-06,1910
2011-07,1924
2011-08,1941
2011-09,1956
2011-10,1961
2011-11,1971
2011-12,1988
2012-01,1989
2012-02,1998
2012-03,2011
2012-04,2016
2012-05,2029
2012-06,2044
2012-07,2059
2012-08,2066
2012-09,2073
2012-10,2075
2012-11,2084
2012-12,2080
2013-01,2071
2013-02,2079
2013-03,2078
2013-04,2079
2013-05,2080
2013-06,2061
2013-07,2067
2013-08,2071
2013-09,2062
2013-10,2064
2013-11,2062
2013-12,2068
2014-01,2082
2014-02,2076
2014-03,2072
2014-04,2054
2014-05,2024
2014-06,2027
2014-07,2038
2014-08,2049
2014-09,2069
2014-10,2039
2014-11,2044
2014-12,2076
2015-01,2073
2015-02,2052
2015-03,2089
2015-04,2107
2015-05,2109
2015-06,2098
2015-07,2044
2015-08,2012
2015-09,2006
2015-10,2038
2015-11,2095
2015-12,2175
2016-01,2186
2016-02,2176
2016-03,2192
2016-04,2184
2016-05,2177
2016-06,2193
2016-07,2231
2016-08,2261
2016-09,2282
2016-10,2293
2016-11,2333
2016-12,2361
2017-01,2386
2017-02,2388
2017-03,2427
2017-04,2450
2017-05,2462
2017-06,2479
2017-07,2502
2017-08,2520
2017-09,2580
2017-10,2595
2017-11,2634
2017-12,2646
2018-01,2652
2018-02,2638
2018-03,2624
2018-04,2626
2018-05,2661
2018-06,2676
2018-07,2689
2018-08,2731
2018-09,2763
2018-10,2783
2018-11,2810
2018-12,2821
2019-01,2833
2019-02,2837
2019-03,2843
2019-04,2846
2019-05,2849
2019-06,2856
2019-07,2865
2019-08,2871
2019-09,2874
2019-10,2881
2019-11,2883
2019-12,2892
2020-01,2894
2020-02,2898
2020-03,2903
2020-04,2915
2020-05,2915
2020-06,2927
2020-07,2932
2020-08,2948
2020-09,2978
2020-10,2990
2020-11,2999
2020-12,3021
2021-01,3032
2021-02,3039
2021-03,3049
2021-04,3065
2021-05,3077
2021-06,3091
2021-07,3102
2021-08,3108
2021-09,3116
2021-10,3121
2021-11,3128
2021-12,3134
2022-01,3139
2022-02,3144
2022-03,3149
2022-04,3151
2022-05,3135
2022-06,3153
2022-07,3141
2022-08,3148
2022-09,3156
2022-10,3163
2022-11,3166
2022-12,3172
2023-01,3174
2023-02,3181
2023-03,3190
2023-04,3200
2023-05,3192
2023-06,3195
2023-07,3184
2023-08,3180
2023-09,3182
2023-10,3185
2023-11,3190
2023-12,3197
2024-01,3201
2024-02,3199
2024-03,3202
2024-04,3201
2024-05,3187
2024-06,3191
2024-07,3179
2024-08,3172
2024-09,3169
2024-10,3170
2024-11,3173
2024-12,3172
2025-01,3177
2025-02,3175
2025-03,3177
2025-04,3181
2025-05,3170
2025-06,3181
2025-07,3183
2025-08,3179
2025-09,3180
2025-10,3182
2025-11,3186
2025-12,3190
